LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
9381.0,1899.0,3.0,0.0,0.0,0.0,0.0,0.0,2122.0,1646043
4853.0,1939.0,1.0,0.0,6.0,2.0,1.0,1.0,2130.0,461600
737.0,1967.0,1.0,0.0,3.0,1.0,1.0,0.0,2114.0,482300
664.0,1890.0,1.0,0.0,3.0,1.0,1.0,0.0,2116.0,637000
1779.0,1905.0,2.0,0.0,7.0,3.0,2.0,0.0,2119.0,562900
3932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,64000
6981.0,1920.0,5.0,0.0,0.0,0.0,0.0,0.0,2115.0,3959500
1753.0,2004.0,1.0,1.0,4.0,2.0,2.0,1.0,2116.0,1933900
642.0,1988.0,1.0,0.0,3.0,1.0,1.0,0.0,2116.0,607300
4250.0,1905.0,3.0,0.0,0.0,0.0,0.0,0.0,2130.0,0
762.0,2014.0,1.0,0.0,4.0,1.0,1.0,0.0,2129.0,489600
157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,32000
15516.0,1899.0,3.5,0.0,0.0,0.0,0.0,0.0,2108.0,9049500
896.0,2015.0,1.0,0.0,5.0,2.0,1.0,0.0,2122.0,275100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,38000
1173.0,1899.0,1.0,1.0,6.0,3.0,1.0,0.0,2127.0,568500
940.0,1851.0,3.0,0.0,11.0,5.0,4.0,0.0,2128.0,761200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,90000
119073.0,1965.0,8.0,0.0,0.0,0.0,0.0,0.0,2118.0,15962500
1161.0,2016.0,1.0,1.0,4.0,2.0,2.0,0.0,2110.0,1493949
1146.0,1910.0,1.0,0.0,5.0,2.0,1.0,0.0,2122.0,285100
4000.0,1935.0,2.0,0.0,8.0,2.0,1.0,1.0,2124.0,606500
5374.0,1940.0,4.0,0.0,0.0,0.0,0.0,0.0,2127.0,3328000
7517.0,1920.0,2.0,0.0,9.0,3.0,1.0,1.0,2135.0,621500
1637.0,1930.0,1.0,0.0,0.0,0.0,0.0,0.0,2119.0,133500
4965.0,1905.0,3.0,0.0,18.0,9.0,3.0,0.0,2126.0,546100
625.0,1904.0,1.0,1.0,3.0,1.0,1.0,0.0,2134.0,392600
41955.0,1899.0,2.0,0.0,0.0,0.0,0.0,0.0,2128.0,6154800
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,39700
5290.0,1900.0,2.5,0.0,14.0,6.0,3.0,0.0,2121.0,519200
4947.0,1900.0,2.0,0.0,12.0,6.0,2.0,1.0,2122.0,423800
4104.0,1890.0,2.0,0.0,8.0,2.0,1.0,0.0,2125.0,492600
30000.0,1970.0,1.0,0.0,0.0,0.0,0.0,0.0,2135.0,2044500
4416.0,1960.0,1.0,0.0,5.0,3.0,1.0,0.0,2136.0,272100
1773.0,1905.0,2.0,0.0,9.0,4.0,2.0,0.0,2127.0,841400
8250.0,1920.0,2.0,0.0,8.0,3.0,1.0,1.0,2132.0,574800
6888.0,1920.0,3.0,0.0,0.0,0.0,0.0,0.0,2121.0,1345000
3294.0,1900.0,2.5,0.0,14.0,6.0,3.0,1.0,2119.0,796900
0.0,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,416000
524.0,1870.0,1.0,0.0,3.0,1.0,1.0,0.0,2113.0,371600
2089.0,1999.0,4.0,0.0,0.0,0.0,0.0,0.0,2116.0,0
735.0,1968.0,1.0,0.0,3.0,1.0,1.0,0.0,2111.0,518000
5640.0,2014.0,3.0,0.0,15.0,9.0,9.0,3.0,2130.0,401800
2378.0,1885.0,2.0,0.0,12.0,7.0,4.0,0.0,2135.0,901500
5000.0,1990.0,1.5,0.0,6.0,3.0,1.0,0.0,2136.0,397500
1033.0,1899.0,4.0,0.0,0.0,0.0,0.0,0.0,2114.0,0
1704.0,1895.0,1.0,0.0,8.0,4.0,2.0,0.0,2130.0,664200
850.0,1900.0,2.0,0.0,3.0,1.0,1.0,0.0,2114.0,700600
1876.0,1890.0,3.0,0.0,11.0,6.0,3.0,0.0,2119.0,766900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.0,49500
1980.0,1915.0,3.0,0.0,15.0,6.0,3.0,0.0,2128.0,441300
9840.0,1974.0,1.5,0.0,6.0,3.0,1.0,1.0,2136.0,470000
5000.0,1900.0,3.0,0.0,15.0,6.0,3.0,3.0,2128.0,823500
10530.0,1915.0,3.0,0.0,0.0,0.0,0.0,0.0,2130.0,0
